Firma Adı,Makine Türü,Çekilen Enerji (kWh),Kullanılan Enerji (kWh),Çalışma Durumu,Saat Dilimi,Verimlilik (%),Öneri
Firma A,Pompa,32.849891249674556,25.880862982679048,1,00:00,78.78523184741275,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,39.311348117101836,37.40398489223584,1,00:15,95.1480594886131,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,14.373311324160175,7.596179921003941,1,00:30,52.849199114162936,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,0.0,0.0,0,00:45,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,49.75397021832366,42.42303563150028,1,01:00,85.26562894447466,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,36.40965946060089,21.834891486480117,1,01:15,59.97005138185316,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,0.0,0.0,0,01:30,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,49.89979467443931,48.76624383446607,1,01:45,97.72834568284527,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,0.0,0.0,0,02:00,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,7.917426910446514,5.962984908821862,1,02:15,75.314682109084,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,28.51089479496979,16.592996075432733,1,02:30,58.198791005185335,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,14.347198615615786,8.184453664323694,1,02:45,57.04565667206675,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,6.210688837109521,2.738439788003879,1,03:00,44.09236817084464,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,23.18775528375049,19.944435537437172,1,03:15,86.01279120542482,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,20.424419742927313,11.788761586626805,1,03:30,57.71895473656766,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,46.19083711192478,31.19671856289074,1,03:45,67.5387598784974,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,0.0,0.0,0,04:00,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,10.210444799837337,9.555405267029442,1,04:15,93.58461315203105,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,0.0,0.0,0,04:30,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,49.450047853401244,45.897127478883135,1,04:45,92.81513258581461,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,25.120089461858033,16.933421678313362,1,05:00,67.40987807398065,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,28.253810960469615,18.98007442614083,1,05:15,67.17704189603369,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,12.545380335637647,7.028462290532768,1,05:30,56.02430617880132,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,30.762604734853305,16.00034225364578,1,05:45,52.012312973997844,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,48.368331632440835,33.692405076157236,1,06:00,69.65798475786087,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,24.09093224125125,12.088003726286932,1,06:15,50.17657102363382,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,8.519965806840325,7.796999207935911,1,06:30,91.5144424837483,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,9.692419464478265,7.876274383316337,1,06:45,81.2622112794652,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,0.0,0.0,0,07:00,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,17.501141084548394,14.198164015267041,1,07:15,81.12707592422346,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,40.90041852437321,19.398449351073374,1,07:30,47.4284861889947,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,11.602942600214188,9.276412181765375,1,07:45,79.94878972851365,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,16.260234093800918,14.434337127492212,1,08:00,88.77078302947179,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,33.887913126742006,19.04026949548256,1,08:15,56.18601955296353,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,16.135536632665826,13.521690009973304,1,08:30,83.80068365745655,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,0.0,0.0,0,08:45,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,6.036076253401306,3.4422782886684797,1,09:00,57.028409585262764,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,49.06162645656198,19.741549111244343,1,09:15,40.238268759237016,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,0.0,0.0,0,09:30,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,25.4277756390596,20.40026292634531,1,09:45,80.22826383212407,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,44.01591805304995,18.978844551275238,1,10:00,43.11813859795242,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,39.893021377880544,26.410880204470363,1,10:15,66.2042615280937,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,23.202098842199995,16.448784272775104,1,10:30,70.89351866244981,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,0.0,0.0,0,10:45,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,25.787668357737918,13.297793937801876,1,11:00,51.566484233196306,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,29.793890164764843,29.04473591313226,1,11:15,97.48554402432967,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,46.632256033429854,20.570367648830512,1,11:30,44.111886060335515,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,15.5312065923965,14.463296130361146,1,11:45,93.12409853231773,"Pompa verimli çalışıyor, mevcut ayarlar korunabilir."
Firma A,Pompa,29.07580122347036,21.470956936834725,1,12:00,73.84476448925194,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,34.33970072447505,25.45301647058726,1,12:15,74.12125304996047,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,12.657513222574611,10.458246839426614,1,12:30,82.62481464980328,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,7.07507909953655,4.773413445605716,1,12:45,67.46798697866707,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,46.604134120457,30.035425087656876,1,13:00,64.44798439989201,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,24.186863487600707,10.771798452442544,1,13:15,44.53573923698152,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,42.47634170177723,18.737343645756336,1,13:30,44.112423280963384,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,36.2393368105824,28.815167204295744,1,13:45,79.51350587597206,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,48.76329842774897,25.45411783740862,1,14:00,52.199335685060724,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,10.765494399190965,5.87271912666365,1,14:15,54.55131839653355,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,10.645068003554325,6.366729148712733,1,14:30,59.80919188667391,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,0.0,0.0,0,14:45,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,0.0,0.0,0,15:00,0.0,Pompa ciddi enerji kaybına uğruyor! Acil bakım gereklidir.
Firma A,Pompa,24.290859591162697,17.857701823468087,1,15:15,73.51613785608859,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
Firma A,Pompa,16.229236435676953,8.127718222686847,1,15:30,50.08071855321285,"Pompa emiş hattında tıkanıklık olabilir, kontrol edilmelidir."
Firma A,Pompa,47.14974078753668,34.74526658509683,1,15:45,73.69132047122773,"Pompa motoru aşırı ısınıyor olabilir, bakım önerilir."
